data,moeda,valor
1940-07-04,mil reis,240.0
1943-01-01,Cr,300.0
1943-12-01,Cr,380.0
1952-01-01,Cr,1200.0
1954-07-04,Cr,2400.0
1956-08-01,Cr,3800.0
1959-01-01,Cr,6e3
1960-10-18,Cr,9600.0
1961-10-16,Cr,13440.0
1963-01-01,Cr,21e3
1964-02-24,Cr,42e3
1965-02-01,CR,66e3
1966-03-01,Cr,84e3
1967-03-01,NCr,105.0
1968-03-26,NCr,129.6
1969-05-01,NCr,156.0
1970-05-01,NCr,187.2
1971-05-01,Cr,225.6
1972-05-01,Cr,268.8
1973-05-01,Cr,312.0
1974-05-01,Cr,376.8
1974-12-01,Cr,415.2
1975-05-01,Cr,532.8
1976-05-01,Cr,768.0
1977-05-01,Cr,1106.4
1978-05-01,Cr,1560.0
1979-05-01,Cr,2268.0
1979-11-01,Cr,2932.8
1980-05-01,Cr,4149.6
1980-11-01,Cr,5788.8
1981-05-01,Cr,8464.8
1981-11-01,Cr,11928.0
1982-05-01,Cr,16608.0
1982-11-01,Cr,23568.0
1983-05-01,Cr,34776.0
1983-11-01,Cr,57120.0
1984-05-01,Cr,97176.0
1984-11-01,Cr,166560.0
1985-05-01,Cr,333120.0
1985-11-01,Cr,6e5
1986-03-01,Cz,804.0
1987-01-01,Cz,964.8
1987-03-01,Cz,1368.0
1987-05-01,Cz,1641.6
1987-06-01,Cz,1969.92
1987-08-10,Cz,1970.0
1987-09-01,Cz,2400.0
1987-10-01,Cz,2640.0
1987-11-01,Cz,3e3
1987-12-01,Cz,3600.0
1988-01-01,Cz,4500.0
1988-02-01,Cz,5280.0
1988-03-01,Cz,6240.0
1988-04-01,Cz,7260.0
1988-05-01,Cz,8712.0
1988-06-01,Cz,10368.0
1988-07-01,Cz,12444.0
1988-08-01,Cz,15552.0
1988-09-01,Cz,18960.0
1988-10-01,Cz,23700.0
1988-11-01,Cz,30800.0
1988-12-01,Cz,40425.0
1989-02-01,NCz,63.9
1989-05-01,NCz,81.4
1989-06-01,NCz,120.0
1989-07-03,NCz,149.8
1989-08-01,NCz,192.88
1989-09-01,NCz,249.48
1989-10-01,NCz,381.73
1989-11-01,NCz,557.31
1989-12-01,NCz,788.12
1990-01-01,NCz,1283.95
1990-02-01,NCz,2004.37
1990-03-01,NCz,3674.06
1990-04-01,Cr,3674.06
1990-05-01,Cr,3674.06
1990-06-01,Cr,3857.66
1990-07-01,Cr,4904.76
1990-08-01,Cr,5203.46
1990-09-01,Cr,6056.31
1990-10-01,Cr,6425.14
1990-11-01,Cr,8329.55
1990-12-01,Cr,8836.82
1991-01-01,Cr,12325.6
1991-02-01,Cr,15895.46
1991-03-01,Cr,17e3
1991-09-01,Cr,42e3
1992-01-01,Cr,96037.33
1992-05-01,Cr,23e4
1992-09-01,Cr,522186.94
1993-01-01,Cr,1250700.0
1993-03-01,Cr,1709400.0
1993-05-01,Cr,3303300.0
1993-07-01,Cr,4639800.0
1993-08-01,CR,5534.0
1993-09-01,CR,9606.0
1993-10-01,CR,12024.0
1993-11-01,CR,15021.0
1993-12-01,CR,18760.0
1994-01-01,CR,32882.0
1994-02-01,CR,42829.0
1994-03-01,"URV 64,79 = R",41951.525
1994-07-01,R,64.79
1994-09-01,R,70.0
1995-05-01,R,100.0
1996-05-01,R,112.0
1997-05-01,R,120.0
1998-05-01,R,130.0
1999-05-01,R,136.0
2000-04-03,R,151.0
2001-04-01,R,180.0
2002-04-01,R,200.0
2003-04-01,R,240.0
2004-05-01,R,260.0
2005-05-01,R,300.0
2006-04-01,R,350.0
2007-04-01,R,380.0
2008-03-01,R,415.0
2009-02-01,R,465.0
2010-01-01,R,510.0
2011-01-01,R,540.0
2011-03-01,R,545.0
2012-01-01,R,622.0
2013-01-01,R,678.0
2014-01-01,R,724.0
2015-01-01,R,788.0
2016-01-01,R,880.0
2017-01-01,R,937.0
